sentences,sent_tokens,topic,label_topic
"chapter i ""well, prince, so genoa and lucca are now just family estates of the buonapartes.","['chapter', 'well', 'prince', 'genoa', 'lucca', 'family', 'estates', 'buonapartes']",1,count-go-pierre-prince-come-know-look-well-let
"but i warn you, if you don't tell me that this means war, if you still try to defend the infamies and horrors perpetrated by that antichrist--i really believe he is antichrist--i will have nothing more to do with you and you are no longer my friend, no longer my 'faithful slave,' as you call yourself!","['warn', 'dont', 'tell', 'mean', 'war', 'still', 'try', 'defend', 'infamies', 'horrors', 'perpetrate', 'antichristi', 'really', 'believe', 'antichristi', 'nothing', 'longer', 'friend', 'longer', 'faithful', 'slave', 'call', 'yourself']",4,dont-say-know-ah-tell-be-dear-do-michael
but how do you do?,['do'],4,dont-say-know-ah-tell-be-dear-do-michael
"i see i have frightened you--sit down and tell me all the news.""","['see', 'frighten', 'yousit', 'tell', 'news']",1,count-go-pierre-prince-come-know-look-well-let
"it was in july, 1805, and the speaker was the well-known anna pavlovna scherer, maid of honor and favorite of the empress marya fedorovna.","['july', '1805', 'speaker', 'wellknown', 'anna', 'pavlovna', 'scherer', 'maid', 'honor', 'favorite', 'empress', 'marya', 'fedorovna']",2,know-letter-father-man-pierre-see-princess-silent-say
"with these words she greeted prince vasili kuragin, a man of high rank and importance, who was the first to arrive at her reception.","['word', 'greet', 'prince', 'vasili', 'kuragin', 'man', 'high', 'rank', 'importance', 'first', 'arrive', 'reception']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
anna pavlovna had had a cough for some days.,"['anna', 'pavlovna', 'cough', 'days']",9,anna-mikhaylovna-princess-prince-say-pierre-face-go-eye
"she was, as she said, suffering from la grippe; grippe being then a new word in st. petersburg, used only by the elite.","['say', 'suffer', 'la', 'grippe', 'grippe', 'new', 'word', 'st', 'petersburg', 'use', 'elite']",5,princess-mary-say-give-prince-look-dinner-man-face
"all her invitations without exception, written in french, and delivered by a scarlet-liveried footman that morning, ran as follows: ""if you have nothing better to do, count [or prince], and if the prospect of spending an evening with a poor invalid is not too terrible, i shall be very charmed to see you tonight between 7 and 10- annette scherer.""","['invitations', 'without', 'exception', 'write', 'french', 'deliver', 'scarletliveried', 'footman', 'morning', 'run', 'follow', 'nothing', 'better', 'count', 'prince', 'prospect', 'spend', 'even', 'poor', 'invalid', 'terrible', 'shall', 'charm', 'see', 'tonight', '7', '10', 'annette', 'scherer']",2,know-letter-father-man-pierre-see-princess-silent-say
"""heavens!",['heavens'],6,princess-say-mademoiselle-bourienne-always-cry-heart-prince-father
